id,date,sender,text,clearedmsg
171,2018-02-26 20:04:00+08:00,NTUFreeFood,"hi guys, refreshments are provided  sign up: https://goo.gl/forms/taepl8q1w9xtupvv1",-2
172,2018-02-26 20:15:21+08:00,PeerUser(user_id=48628073),"hey guys, lots of food outside lt 8 at north spine. clearing at around 9.30pm ",-2
174,2018-02-27 22:37:46+08:00,PeerUser(user_id=142179834),"ntuperks  bazaar is back again this year  organised by students union's corporate liaison office, come join us *this thursday, 10am to 6pm at south spine concourse*. be sure to be early in line to grab some amazing goodies we have for you  goodies include: -ice cream -popcorn -mcdonalds vouchers -rainbow cheese toast -mua chee -and many many more freebies and discounts  🥛🍦🍢💕👌🏻 see you there  ❤❤❤  for more information and discounts offered by our merchants, visit  http://www.ntusuclo.wixsite.com/ntuperks  to receive updates on the latest deals, visit: http://www.facebook.com/ntuperks http://www.instagram.com/ntuperks",-2
176,2018-02-28 15:18:18+08:00,NTUFreeFood,"hi all  there's laksa, mushroom soup, salad and tomato rice outside lt1 now ",-2
177,2018-03-01 12:22:48+08:00,PeerUser(user_id=131511868),come down to ntubazaar right now happening at southspine concourse for free food   featuring rainbow cheese toast ,-2
179,2018-03-01 13:21:10+08:00,NTUFreeFood,"scse lobby: duck, chicken, kam heong, drinks",-2
180,2018-03-01 13:50:34+08:00,PeerUser(user_id=465844271),leftovers at nie canteen b1 level now. to be cleared 2-2.30pm,-2
181,2018-03-01 16:03:46+08:00,PeerUser(user_id=121205566),hall 10 function hall still a lot. to be cleared by 4.30pm,-2
183,2018-03-01 18:13:23+08:00,PeerUser(user_id=484910427),jonny micay: free food...on a film set tomorrow  adm film students are searching for extras of chinese ethnicity for a chinese new year gathering scene. tomorrow - march 2nd - 11am-7pm  yewtee . please email jmicay gmail.com for some amazing free food on a fun movie set. please pm jonny micay for any more inquiries .,-2
184,2018-03-03 16:20:24+08:00,PeerUser(user_id=337482339),leftover bee hoon ans mee siam and sandwiches at reading room 1 and 2 at s3-b4 ,-2
185,2018-03-03 23:47:27+08:00,NTUFreeFood,"date: monday, 5 march 2018 time: 2pm - 4pm venue: lt29  refreshments provided   register for a place here: https://goo.gl/forms/b1jztmb3udqltk113",-2
186,2018-03-05 16:43:17+08:00,PeerUser(user_id=233877621),"mini egg sandwich, pizza, veg fried gyoza and choco cream puffs at lt29  :-)",-2
188,2018-03-05 17:32:27+08:00,NTUFreeFood,"just drinks left: coffee, tea, fruit punch",-2
189,2018-03-11 18:08:38+08:00,NTUFreeFood,"hi all, food over at lt6 ",-2
190,2018-03-13 14:08:24+08:00,NTUFreeFood,hi guys  leftovers at hive level 3,-2
